Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,PHP100,THB100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
2025-02-21,4.4175,5.5972,4.6397,2.9388,4.9184,2.8281,3.1171,3.3112,56.8485,7.6279,13.1512,13.4997,0.3084,0.0271,117.7969,5.7921,0.6102,3.3112,0.0173,0.1098,2.5482,0.211,5.1026,120.2663,1.5819,3.1894,0.0873
2025-02-24,4.3985,5.578,4.627,2.9487,4.9112,2.808,3.1006,3.3027,56.6047,7.6016,13.1495,13.4408,0.3085,0.027,117.2902,5.7744,0.6081,3.3027,0.0173,0.1095,2.5344,0.2101,5.0767,119.7669,1.5743,3.1724,0.0869
2025-02-25,4.4135,5.5754,4.6225,2.9488,4.9195,2.8035,3.0973,3.2973,56.77,7.6213,13.1384,13.4661,0.3084,0.0271,117.6918,5.7954,0.6083,3.2973,0.0173,0.1097,2.53,0.2108,5.081,120.1623,1.5782,3.1747,0.0872
2025-02-26,4.4225,5.5942,4.6456,2.9603,4.9491,2.7981,3.0873,3.3059,56.9077,7.6388,13.0863,13.4878,0.3088,0.027,117.9365,5.8098,0.6093,3.3059,0.0173,0.1099,2.5259,0.2112,5.0738,120.409,1.5812,3.1692,0.0874
2025-02-27,4.446,5.6271,4.653,2.9794,4.9587,2.7981,3.0963,3.3148,57.177,7.6788,13.1402,13.5437,0.3084,0.0271,118.5505,5.8413,0.6117,3.3148,0.0174,0.1105,2.5273,0.2123,5.0886,121.0488,1.5886,3.1804,0.0879
2025-02-28,4.4655,5.6198,4.639,2.9848,4.9672,2.7742,3.091,3.3102,57.4153,7.7018,13.0876,13.5631,0.3057,0.0269,119.0673,5.8639,0.613,3.3102,0.0175,0.111,2.5018,0.2133,5.1117,121.5846,1.5955,3.1952,0.0881
2025-03-03,4.4635,5.6251,4.6496,2.9667,4.9498,2.7754,3.0902,3.3069,57.3999,7.705,13.0283,13.5679,0.3057,0.027,119.0171,5.8427,0.6124,3.3069,0.0174,0.1109,2.5005,0.2132,5.1128,121.5319,1.5955,3.1961,0.0882
2025-03-04,4.468,5.6688,4.6813,2.9953,4.983,2.7699,3.0806,3.3182,57.4648,7.7291,13.1596,13.5645,0.3061,0.0272,119.134,5.8572,0.6138,3.3182,0.0175,0.1111,2.5034,0.2134,5.1126,121.6577,1.5964,3.1953,0.0882
2025-03-05,4.4475,5.6868,4.7224,2.9655,4.9924,2.7797,3.0832,3.3189,57.2162,7.7306,13.1778,13.5483,0.305,0.0272,118.5874,5.8589,0.6123,3.3188,0.0174,0.1105,2.5122,0.2124,5.1041,121.0962,1.5901,3.1901,0.0878
2025-03-06,4.4275,5.7055,4.7771,2.9668,4.9613,2.8068,3.0901,3.3228,56.975,7.7384,13.1759,13.4835,0.307,0.0271,118.0446,5.855,0.6112,3.3228,0.0174,0.11,2.5372,0.2115,5.0904,120.5516,1.5829,3.18,0.0874
2025-03-07,4.4295,5.7085,4.7863,3.0009,5.0207,2.7919,3.0954,3.3226,56.9861,7.7357,13.1254,13.4777,0.3063,0.0271,118.087,5.8853,0.6114,3.3226,0.0174,0.1102,2.5323,0.2116,5.0806,120.6061,1.5837,3.1755,0.0874
2025-03-10,4.419,5.7058,4.7862,2.993,5.0287,2.7864,3.0758,3.3176,56.8627,7.7044,13.0817,13.4431,0.3037,0.0271,117.7882,5.8825,0.6089,3.3176,0.0173,0.1099,2.5244,0.2111,5.064,120.3202,1.5782,3.165,0.0872
2025-03-11,4.4325,5.7137,4.8113,3.0129,5.0412,2.7812,3.0718,3.3248,57.0577,7.731,13.082,13.4596,0.304,0.027,118.1559,5.9001,0.6115,3.3248,0.0174,0.1103,2.5232,0.2117,5.0772,120.6845,1.583,3.1732,0.0876
2025-03-12,4.433,5.7288,4.8311,2.9938,5.0164,2.7859,3.068,3.3267,57.0491,7.7279,13.1239,13.4645,0.3051,0.0269,118.2039,5.9105,0.6127,3.3267,0.0174,0.1103,2.5275,0.2117,5.0833,120.7014,1.5832,3.1772,0.0876
2025-03-13,4.428,5.738,4.8201,2.9911,5.023,2.7961,3.0778,3.3238,56.9749,7.7276,13.1084,13.443,0.3048,0.027,118.0611,5.8999,0.6119,3.3238,0.0174,0.1101,2.5377,0.2115,5.087,120.562,1.5811,3.1798,0.0874
2025-03-14,4.445,5.7538,4.8208,2.9966,5.028,2.7968,3.0808,3.3285,57.1892,7.7696,13.1958,13.4865,0.3056,0.0271,118.5144,5.9165,0.6139,3.3285,0.0174,0.1106,2.5379,0.2123,5.1128,121.0248,1.5882,3.1931,0.0878
2025-03-17,4.4455,5.7505,4.8385,2.989,5.0274,2.8136,3.0925,3.3327,57.2,7.7632,13.1943,13.4798,0.3074,0.0271,118.5309,5.9236,0.6142,3.3327,0.0174,0.1106,2.5604,0.2123,5.118,121.0418,1.587,3.199,0.0879
2025-03-19,4.4305,5.7572,4.8461,2.967,5.0522,2.8176,3.0962,3.3277,57.0136,7.7427,13.1684,13.4258,0.3051,0.0268,118.1278,5.9057,0.6124,3.3277,0.0173,0.1102,2.575,0.2116,5.1129,120.63,1.5809,3.1951,0.0877
2025-03-20,4.426,5.7571,4.8288,2.9832,5.0522,2.8083,3.0899,3.3249,56.963,7.7445,13.1667,13.4117,0.3031,0.0269,118.0015,5.8982,0.6117,3.3249,0.0173,0.1102,2.5655,0.2114,5.1308,120.5042,1.5797,3.2055,0.0874
2025-03-21,4.423,5.726,4.7921,2.9642,5.0065,2.783,3.0872,3.3114,56.9076,7.7171,13.0819,13.3892,0.3012,0.0268,117.9152,5.8862,0.6099,3.3114,0.0173,0.1101,2.5439,0.2113,5.1269,120.4176,1.5782,3.2044,0.0875
2025-03-24,4.4335,5.7252,4.7973,2.9595,5.0161,2.7829,3.09,3.3154,57.0331,7.7307,13.0608,13.4218,0.3021,0.0268,118.1873,5.8983,0.6107,3.3154,0.0173,0.1103,2.5368,0.2118,5.1604,120.7183,1.5817,3.2264,0.0876
2025-03-25,4.4395,5.7381,4.7962,2.9475,5.0275,2.792,3.1009,3.3159,57.1023,7.7399,13.0535,13.4335,0.3021,0.0267,118.3456,5.9001,0.6114,3.3159,0.0173,0.1105,2.5405,0.212,5.1754,120.8817,1.5844,3.2346,0.0877
2025-03-26,4.4245,5.7238,4.7725,2.9411,5.0076,2.7912,3.0995,3.3079,56.9115,7.6672,13.0332,13.3731,0.302,0.0267,117.9363,5.8762,0.6091,3.3078,0.0173,0.1102,2.5421,0.2113,5.1609,120.4585,1.5782,3.2246,0.0875
2025-03-27,4.432,5.7224,4.7768,2.9516,5.0218,2.7959,3.1065,3.3101,57.0021,7.7037,13.0583,13.3934,0.3024,0.0268,118.1489,5.879,0.6104,3.3101,0.0173,0.1103,2.542,0.2117,5.1631,120.6676,1.5813,3.2269,0.0877
2025-03-28,4.433,5.7392,4.7841,2.9395,5.0232,2.7857,3.0972,3.3057,57.0014,7.7236,13.0622,13.3726,0.3022,0.0268,118.185,5.8786,0.6102,3.3057,0.0173,0.1104,2.5335,0.2117,5.1768,120.6915,1.5817,3.2352,0.0877
2025-04-02,4.4475,5.7468,4.8015,2.97,5.0342,2.8015,3.1096,3.3112,57.1566,7.7693,13.0292,13.3925,0.3033,0.0269,118.5557,5.9029,0.6118,3.3112,0.0173,0.1108,2.5442,0.2124,5.1929,121.0896,1.5878,3.2456,0.0879
2025-04-03,4.465,5.8355,4.8731,3.0317,5.0985,2.8007,3.1341,3.3228,57.3705,7.8084,13.0023,13.4508,0.3043,0.027,119.0175,5.9264,0.612,3.3228,0.0173,0.1113,2.5613,0.2133,5.2122,121.5611,1.5938,3.2575,0.0883
2025-04-04,4.418,5.7896,4.9011,3.033,5.1782,2.763,3.1372,3.3174,56.8169,7.7713,12.9522,13.4408,0.3075,0.0267,117.7615,5.9188,0.6067,3.3174,0.0171,0.11,2.5331,0.211,5.1981,120.2831,1.5745,3.2488,0.0873
2025-04-07,4.4675,5.7573,4.8921,3.0538,5.2197,2.691,3.1376,3.3175,57.499,7.7955,12.9813,13.4787,0.3047,0.027,119.0524,5.9826,0.6109,3.3175,0.0173,0.1113,2.4935,0.2134,5.2153,121.6275,1.5921,3.2606,0.0874
2025-04-08,4.4835,5.7283,4.9153,3.0377,5.2322,2.7027,3.1637,3.3243,57.696,7.837,12.9637,13.5839,0.3048,0.0266,119.4072,5.9791,0.6118,3.3243,0.0173,0.1116,2.4975,0.2141,5.2228,122.0648,1.5978,3.2639,0.0872
2025-04-09,4.502,5.7707,4.9614,3.0977,5.3351,2.6852,3.1607,3.3305,57.9934,7.8309,12.9238,13.6026,0.3028,0.0265,119.9286,5.9907,0.6125,3.3305,0.0173,0.1121,2.4885,0.215,5.2032,122.5701,1.6041,3.2517,0.0878
2025-04-10,4.4765,5.7507,4.9159,3.0487,5.2535,2.7645,3.1794,3.3392,57.6716,7.8238,13.1122,13.6267,0.3072,0.0267,119.2366,5.9798,0.6095,3.3392,0.0173,0.1114,2.5456,0.2138,5.191,121.8742,1.5952,3.2272,0.0866
2025-04-11,4.438,5.7854,5.0327,3.0993,5.4304,2.7706,3.1815,3.3464,57.2117,7.7924,13.1516,13.5375,0.3057,0.0264,118.2269,5.9435,0.6067,3.3464,0.0173,0.1104,2.5718,0.212,5.1492,120.826,1.5813,3.2183,0.0865
2025-04-14,4.423,5.7972,5.0296,3.0925,5.4127,2.7818,3.1917,3.3594,57.018,7.7518,13.203,13.6138,0.3098,0.0264,117.8194,5.9807,0.6052,3.3594,0.0171,0.1101,2.5844,0.2113,5.147,120.4176,1.5767,3.2128,0.0863
2025-04-15,4.4115,5.8221,5.0057,3.0821,5.4,2.8028,3.18,3.3549,56.8562,7.7513,13.1569,13.5981,0.3101,0.0262,117.5491,5.9765,0.6034,3.3549,0.017,0.1098,2.6079,0.2107,5.1471,120.1045,1.5727,3.2169,0.0865
2025-04-16,4.416,5.8572,5.0091,3.0984,5.4157,2.8028,3.1677,3.3569,56.9263,7.8006,13.2513,13.5931,0.3093,0.0262,117.6847,5.9771,0.6027,3.3569,0.0171,0.1099,2.611,0.2109,5.1624,120.2271,1.5739,3.2269,0.0866
2025-04-17,4.412,5.8298,5.0138,3.0936,5.3996,2.8029,3.177,3.359,56.8447,7.7899,13.2912,13.5716,0.311,0.0262,117.5781,5.9771,0.6038,3.359,0.0171,0.1098,2.6093,0.2107,5.1566,120.1214,1.5737,3.2233,0.0863
2025-04-18,4.409,5.851,5.0148,3.0978,5.3893,2.8114,3.1812,3.3601,56.7983,7.7723,13.2135,13.5202,0.3102,0.0262,117.5028,5.9717,0.6042,3.3601,0.017,0.1097,2.617,0.2106,5.1578,120.0381,1.5713,3.2278,0.0862
2025-04-21,4.386,5.8687,5.0498,3.1158,5.4225,2.8176,3.1792,3.3632,56.5112,7.7569,13.2308,13.5141,0.3096,0.0261,116.893,5.9486,0.6019,3.3632,0.0169,0.1092,2.6323,0.2095,5.1509,119.4087,1.5636,3.2193,0.0858
2025-04-22,4.378,5.8687,5.05,3.1227,5.421,2.8164,3.1712,3.3554,56.4273,7.7222,13.2166,13.4741,0.308,0.026,116.6907,5.9729,0.5991,3.3554,0.0169,0.109,2.6345,0.2091,5.1415,119.1974,1.5608,3.2134,0.0857
2025-04-23,4.408,5.8593,5.0167,3.1,5.3498,2.8176,3.1849,3.3592,56.814,7.7857,13.1543,13.5689,0.3086,0.0261,117.5153,6.0026,0.604,3.3591,0.017,0.1098,2.632,0.2105,5.1673,120.0093,1.5645,3.2295,0.0864
2025-04-24,4.3905,5.8264,4.9782,3.0732,5.2968,2.7921,3.1651,3.3381,56.5855,7.7634,13.0728,13.4939,0.307,0.026,117.0457,5.9594,0.6013,3.3381,0.0169,0.1093,2.6134,0.2097,5.1251,119.5312,1.5633,3.2032,0.0862
2025-04-25,4.374,5.812,4.954,3.045,5.2563,2.8057,3.1531,3.3284,56.3743,7.7642,13.0899,13.4618,0.3049,0.026,116.6058,5.9323,0.6005,3.3284,0.0168,0.1089,2.6185,0.2089,5.1378,119.0836,1.5518,3.2115,0.0858
2025-04-28,4.374,5.8152,4.9669,3.0463,5.2807,2.7932,3.1524,3.3265,56.3838,7.7648,12.9869,13.4558,0.3034,0.0259,116.5981,5.9266,0.5995,3.3265,0.0168,0.109,2.6045,0.2089,5.1213,119.082,1.5571,3.2009,0.0859
2025-04-29,4.334,5.8132,4.9366,3.0428,5.2607,2.7809,3.1275,3.3113,55.8696,7.6987,13.0092,13.4265,0.3014,0.0258,115.5333,5.8708,0.5959,3.3113,0.0167,0.1079,2.5807,0.207,5.0953,117.993,1.5421,3.1851,0.0852
2025-04-30,4.3175,5.7785,4.9086,3.0292,5.24,2.7626,3.1191,3.3017,55.6569,7.729,12.9266,13.4754,0.3021,0.0259,115.1057,5.8592,0.594,3.3017,0.0166,0.1075,2.5605,0.2062,5.0709,117.5438,1.5358,3.1692,0.085
2025-05-02,4.296,5.7182,4.8601,2.9581,5.1856,2.7574,3.1093,3.2897,55.3883,7.7201,12.8932,13.7235,0.3023,0.0261,114.5478,5.817,0.5908,3.2897,0.0165,0.107,2.5486,0.2052,5.1164,116.96,1.5281,3.1986,0.0846
2025-05-05,4.2,5.5816,4.7597,2.9109,5.0999,2.7147,3.0422,3.2488,54.1918,7.5696,12.6754,14.1214,0.3,0.0256,111.9955,5.687,0.5776,3.2488,0.0162,0.1046,2.507,0.2006,4.9835,114.348,1.4919,3.1154,0.0828
2025-05-06,4.232,5.6264,4.7887,2.9431,5.1409,2.7341,3.0613,3.2725,54.6019,7.6006,12.8701,14.0651,0.3063,0.0257,112.8383,5.7388,0.5859,3.2725,0.0163,0.1053,2.5265,0.2021,5.0169,115.2223,1.5051,3.1355,0.0835
2025-05-07,4.2355,5.6527,4.8056,2.9597,5.1311,2.7471,3.0711,3.2802,54.6241,7.6432,12.9131,14.0128,0.3031,0.0256,112.9196,5.7429,0.5861,3.28,0.0163,0.1054,2.543,0.2023,5.0096,115.316,1.5041,3.131,0.0836
2025-05-08,4.267,5.6943,4.8332,2.9713,5.1831,2.7552,3.086,3.2966,54.9181,7.6884,13.0589,14.1007,0.3062,0.0259,113.7594,5.7907,0.5898,3.2966,0.0164,0.1062,2.5463,0.2038,5.0469,116.1736,1.5176,3.1547,0.0843
2025-05-09,4.3185,5.7145,4.8467,2.9649,5.1924,2.7666,3.1019,3.3218,55.5527,7.7718,13.0488,14.2841,0.3077,0.0261,115.1354,5.8393,0.5958,3.3218,0.0166,0.1076,2.5458,0.2063,5.0395,117.5742,1.5307,3.1502,0.0853
2025-05-13,4.3275,5.7117,4.8104,2.9289,5.1344,2.769,3.0989,3.3195,55.527,7.7696,12.9653,14.2343,0.3056,0.0262,115.3754,5.8071,0.6018,3.3195,0.0167,0.1077,2.5444,0.2067,5.106,117.8176,1.5391,3.1923,0.0857
2025-05-14,4.3145,5.7424,4.8305,2.9333,5.1452,2.7943,3.0994,3.3157,55.2858,7.7294,12.9506,14.2365,0.3046,0.0261,115.0319,5.7968,0.5979,3.3157,0.0166,0.1075,2.5652,0.2061,5.0663,117.4685,1.5313,3.1665,0.0855
2025-05-15,4.286,5.6925,4.799,2.9337,5.106,2.7608,3.069,3.3002,54.8836,7.6914,12.8254,14.2099,0.3073,0.0259,114.269,5.7892,0.5944,3.3002,0.0165,0.1068,2.5311,0.2047,5.0072,116.6878,1.5212,3.13,0.085
2025-05-16,4.2675,5.6811,4.7796,2.9377,5.116,2.7404,3.0601,3.2955,54.6418,7.6754,12.8743,14.1632,0.3065,0.026,113.7757,5.7565,0.5927,3.2955,0.0165,0.1063,2.518,0.2038,4.9956,116.1857,1.5146,3.1223,0.0851
2025-05-19,4.311,5.7323,4.8201,2.968,5.1564,2.7642,3.0858,3.3201,55.1148,7.7218,12.9722,14.2943,0.3083,0.0262,114.9355,5.8167,0.5974,3.3201,0.0166,0.1074,2.5392,0.2059,5.037,117.3844,1.5274,3.1486,0.086
2025-05-20,4.285,5.728,4.8185,2.9589,5.1367,2.7628,3.0699,3.3093,54.7649,7.6938,12.9047,14.2019,0.3071,0.0261,114.2453,5.7994,0.5933,3.3093,0.0165,0.1067,2.5378,0.2047,5.0164,116.6653,1.5209,3.1354,0.0856
2025-05-21,4.271,5.7366,4.8412,2.9702,5.1918,2.7542,3.075,3.3087,54.5543,7.6823,13.0353,14.1633,0.3084,0.026,113.8782,5.7737,0.5926,3.3087,0.0165,0.1064,2.5406,0.204,4.9904,116.2794,1.5155,3.1187,0.0856
2025-05-22,4.259,5.7177,4.8265,2.9718,5.1649,2.7441,3.0744,3.3036,54.4278,7.6544,13.0624,14.2118,0.3084,0.0261,113.5552,5.7781,0.5912,3.3036,0.0164,0.106,2.5237,0.2034,4.9715,115.9558,1.506,3.1073,0.0854
2025-05-23,4.2535,5.7199,4.8113,2.9655,5.1455,2.7367,3.0753,3.2978,54.3151,7.6705,12.9937,14.1949,0.3095,0.0261,113.398,5.7627,0.5906,3.2978,0.0164,0.1059,2.5164,0.2032,4.948,115.8029,1.503,3.0928,0.0852
2025-05-26,4.2065,5.7118,4.8005,2.9527,5.1283,2.7433,3.0703,3.282,53.6756,7.6013,12.959,14.0686,0.3086,0.026,112.1554,5.7143,0.5863,3.282,0.0162,0.1047,2.5332,0.2009,4.9462,114.5218,1.4859,3.0914,0.0843
2025-05-27,4.21,5.7126,4.7967,2.9555,5.1313,2.7274,3.0647,3.2793,53.7137,7.607,12.922,14.0727,0.3077,0.0259,112.2457,5.719,0.5855,3.2793,0.0162,0.1048,2.5212,0.2011,4.9352,114.6171,1.4884,3.0845,0.0845
2025-05-28,4.25,5.7296,4.8057,2.9439,5.1332,2.7387,3.0741,3.2955,54.2185,7.6512,12.987,14.2131,0.309,0.0261,113.3061,5.7707,0.5904,3.2955,0.0164,0.1058,2.5398,0.203,4.9639,115.7313,1.5024,3.1024,0.0853
2025-05-29,4.241,5.6976,4.7701,2.9097,5.0952,2.7246,3.0623,3.2781,54.1058,7.6146,12.92,14.1468,0.3068,0.026,113.0662,5.7538,0.5891,3.2783,0.0163,0.1056,2.5185,0.2026,4.9603,115.4768,1.4986,3.1011,0.0852
